cell_line_key,cell_line,depmap_id,cancer_type,sex,age,subtype,source,origin,phase_of_disease,approx_doubling_time_observed,cell_line_link,media_formulation,plate_number,plate_conditions,plate_ids,wells,seeding_density_24hr,seeding_density_48hr,seeding_density_72hr,cell_count_at_seeding,qc_notes
CHLA262,CHLA262,,Rhabdomyosarcoma,,,,COG,,,,,IMDM + 20 % FBS + 1x ITS + P/S,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,G07|G08|H07|H08,12000,12000,12000,1060000.0,"I have no notes for this one, was not part of 55 cell lines."
CHP134,CHP134,ACH-001338,Neuroblastoma,Male,1.0,,Sigma-Aldrich,Primary,,,https://www.dsmz.de/collection/catalogue/details/culture/ACC-653,RPMI 1640 + 2mM Glutamine + 10% Foetal Bovine Serum (FBS),3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,I07|I08|J07|J08,4000,4000,1000,297000.0,"Minimal issues, keep seeding densities the same!"
CHP212,CHP212,ACH-000120,Neuroblastoma,Male,1.0,MYCN_amp,ATCC CRL-2273,Primary,,26 hours,https://www.atcc.org/products/crl-2273,EMEM/F12 (1:1) + 10% FBS,2,Synthemax,BR00150698|BR00150699|BR00150700,I03|I04|J03|J04,12000,12000,8000,786000.0,"No issues, keep seeding densities the same!"
CHP2121020,CHP212-1020,,Neuroblastoma,Male,1.0,MYCN_amp,Derivative of CHP-212,Primary,,,,"RPMI with 10% FBS, 1% Pen-strep, and 1 ug/ml puromycin.",2,Synthemax,BR00150698|BR00150699|BR00150700,K03|K04|L03|L04,12000,12000,8000,344000.0,"No issues, keep seeding densities the same!"
CHP212EV,CHP212-EV,,Neuroblastoma,Male,1.0,MYCN_amp,Derivative of CHP-212,Primary,,,,"RPMI with 10% FBS, 1% Pen-strep, and 1 ug/ml puromycin.",2,Synthemax,BR00150698|BR00150699|BR00150700,M03|M04|N03|N04,12000,12000,12000,483000.0,"No issues, keep seeding densities the same!"
COGAR397HNB,COGAR397hnb,,Atypical Teratoid Rhabdoid Tumor,,,,COG,Metastasis,PD,,https://www.cccells.org/tables/cellreq-tbl_braintumor.php,,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,K07|K08|L07|L08,8000,4000,4000,988000.0,"Noted that seeding density is low, but likely due to high clusters. Could reduce density to reduce clusters. (Confirmed) (Confirmed)"
COGE352,COGE352,ACH-001038,Ewing's Sarcoma,Male,17.0,EWS_ERG,COG,Metastasis,PD-PM,,https://www.cccells.org/tables/cellreq-tbl_eft_ewings.php,IMDM + 20 % FBS + 1x ITS + P/S,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,M07|M08|N07|N08,4000,4000,2000,492000.0,"Noted as high clustering - we can drop the densities down if you think it'll help with less clustering (Confirmed, all time points need to be reduced but clustering might still be an issue) (Confirmed)"
COGEP280,COGEP280,,"Ependymoma, anaplastic",Male,,,COG,,PD,,https://www.cccells.org/tables/cellreq-tbl_braintumor.php,IMDM + 20 % FBS + 1x ITS + P/S,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,C09|C10|D09|D10,4000,4000,4000,1330000.0,"Noted as high confluence - we can drop this down to 4000 or 8000? (Confirmed, reduce across all time points) (Confirmed)"
COGR466H,COGR466h,,"Rhabdomyosarcoma, embryonal",Male,,,COG,,PD-PM,,https://www.cccells.org/tables/cellreq-tbl_ped_sarcomas.php,IMDM + 20 % FBS + 1x ITS + P/S,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,E09|E10|F09|F10,8000,4000,2000,211000.0,"After a second look, recommend reducing slightly across all time points (Confirmed)"
COGW408,COGW408,,Wilms' Tumor,,,,COG,,PD,,https://www.cccells.org/tables/cellreq-tbl_wilms.php,IMDM + 20 % FBS + 1x ITS + P/S,2,Synthemax,BR00150698|BR00150699|BR00150700,C05|C06|D05|D06,8000,8000,4000,1910000.0,Noted as high clustering - we can drop this down to 8000 if you think it'll help with less clustering (Confirmed density has to be reduced across all time points if that is the driver for the clusters. If clustering happens at all densities then this cell line might not get past image QC) (Confirmed)
D283,D283,ACH-000055,Medulloblastoma,Male,6.0,,ATCC HTB-185,Metastasis,,,https://www.atcc.org/products/htb-185,EMEM + 10% FBS,2,Synthemax,BR00150698|BR00150699|BR00150700,E05|E06|F05|F06,8000,12000,8000,1490000.0,"Some issues, but current densities do work based on notes."
D425,D425,ACH-001053,Medulloblastoma,Male,6.0,,Roussel Lab/St. Jude,Primary,,,,NeuroCult NS-A Basal Medium + Neurocult supplement + N-2 Supplement + B-27 Supplement + Glutamax + BSA solution + Heparin + Human rEGF + Human bFGF,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,G09|G10|H09|H10,8000,12000,2000,381000.0,"Can increase seeding density at 24 hours (Confirmed, might consider increasing mag as cells are very small, also note ""halo-ing"" issue from nuclei) (Confirmed)"
DAOY,DAOY,ACH-000211,Medulloblastoma,Male,4.0,non_MYC,ATCC HTB-186,Primary,,34 hours,https://www.atcc.org/products/htb-186,EMEM + 10% FBS,1,Standard,BR00150695|BR00150696|BR00150697,C03|C04|D03|D04,12000,4000,4000,1610000.0,Can lower seeding density at 48 and 72 hours (Confirmed) (Confirmed)
G292,G292,ACH-000082,Osteosarcoma,Female,9.0,,ATCC CRL-1423,Primary,,35 hours,https://www.atcc.org/products/crl-1423,McCoy's 5A + 10% FBS,1,Standard,BR00150695|BR00150696|BR00150697,E03|E04|F03|F04,12000,12000,8000,400000.0,"Can consider lowering density slightly to help with clustering, especially at 72 hours (Confirmed to focus on 72 hours) (Confirmed)"
G401,G401,ACH-000096,Malignant Rhabdoid Tumor,Male,0.25,,ATCC CRL-1441,Primary,,24 hours,https://www.atcc.org/products/crl-1441,McCoy's 5A + 10% FBS,1,Standard,BR00150695|BR00150696|BR00150697,G03|G04|H03|H04,12000,12000,8000,1580000.0,"Can consider lowering density slightly to help with clustering, especially at 72 hours (Confirmed to focus on 72 hours) (Confirmed)"
G402,G402,ACH-000375,Malignant Rhabdoid Tumor,Female,0.75,,ATCC CRL-1440,Primary,,24 hours,https://www.atcc.org/products/crl-1440,McCoy's 5A + 10% FBS,1,Standard,BR00150695|BR00150696|BR00150697,I03|I04|J03|J04,8000,4000,2000,407000.0,"Can increase density at 72 hours to 2000 to make it more even across timepoints (Confirmed to focus on 72 hours, still noting channel bleedthrough across plates) (Confirmed)"
HMC3,HMC3,,Normal (immortalized microglia),,0.0,,ATCC CRL-3304,,,,https://www.atcc.org/products/crl-3304,EMEM + 10% FBS,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,I09|I10|J09|J10,8000,2000,2000,316000.0,Can decrease seeding density at 24 hours (Confirmed) (Confirmed)
IMR32,IMR32,ACH-000310,Neuroblastoma,Male,1.0,MYCN_amp,ATCC CCL-127,Metastasis,,38 hours (Improves after P3),https://www.atcc.org/products/ccl-127,EMEM + 10% FBS,1,Standard,BR00150695|BR00150696|BR00150697,K03|K04|L03|L04,8000,4000,4000,300000.0,Lower cell density at all time points (Confirmed)
KNS42,KNS-42,ACH-000622,Glioma,Male,16.0,,HSRRB IFO50356,Primary,,,https://cellbank.nibiohn.go.jp/~cellbank/en/search_res_det.cgi?ID=1880,EMEM + 5% fetal bovine serum,1,Standard,BR00150695|BR00150696|BR00150697,M03|M04|N03|N04,1000,4000,4000,221000.0,Can lower cell density at 24 and 72 hours to help with clustering (Confirmed) (I am confused by this note - I have KNS-42 at 24 hours at a seeding density of 1000. Do we mean 48 here?)
KPNYN,KP-N-YN,ACH-000227,Neuroblastoma,Male,2.0,MYCN_amp,HSRRB IFO50431,Metastasis,,72 hours (Improves after P3),https://cellbank.nibiohn.go.jp/~cellbank/en/search_res_det.cgi?ID=1919,RPMI 1640 + 10% FBS,2,Synthemax,BR00150698|BR00150699|BR00150700,G05|G06|H05|H06,8000,4000,4000,395000.0,"Can decrease seeding density slightly at 24 and 48 hours, and increase slightly at 72 hours to help with segmentation (Confirmed, clustering is main issue based on notes) (Confirmed)"
NB1,NB-1,ACH-000804,Neuroblastoma,Male,2.0,,HSRRB IFO50295,Metastasis,,24 hours,https://cellbank.nibiohn.go.jp/~cellbank/en/search_res_det.cgi?ID=1853,RPMI 1640 + 10% FBS,1,Standard,BR00150695|BR00150696|BR00150697,C05|C06|D05|D06,12000,8000,8000,770000.0,"Can lower cell density, especially at 48 and 72 hours, to help with clustering; may increase magnification on re-imaging (Confirmed) (Confirmed)"
ONS76,ONS-76,ACH-000776,Medulloblastoma,Female,2.0,non_MYC,HSRRB IFO50355,Primary,,24 hours,https://cellbank.nibiohn.go.jp/~cellbank/en/search_res_det.cgi?ID=1879,RPMI 1640 + 10% FBS,1,Standard,BR00150695|BR00150696|BR00150697,E05|E06|F05|F06,8000,4000,1000,582000.0,"Can lower cell density to 4000 or 8000 cells per well, especially at 24 and 48 hours (Need to reduce across all time points) (Confirmed)"
PA1,PA1,ACH-001374,Mixed Germ Cell,Female,12.0,,ATCC CRL-1572,Metastasis,,24 hours,https://www.atcc.org/products/crl-1572,EMEM + 10% FBS,1,Standard,BR00150695|BR00150696|BR00150697,G05|G06|H05|H06,4000,2000,1000,582000.0,Can lower cell density at 72 hours to help with overconfluence (Confirmed) (Confirmed)
PBT04FHTC,PBT04 FHTC,,High Grade Gliomas - MYCN,,,MYCN/ID2 amplified,Brain Tumor Resource Lab,,,36 to 48 hours,https://btrl.org,,2,Laminin,BR00150698|BR00150699|BR00150700,M07|M08|N07|N08,12000,4000,12000,339000.0,"Had issues with this cell line. I could not tell if what was imaged were cells or debris, can not say if seeding densities should be changed."
RD,RD,ACH-000169,Rhabdomyosarcoma,Female,7.0,,Koehler Lab/MIT,Primary,PD,,,DMEM + 10% FBS,2,Synthemax,BR00150698|BR00150699|BR00150700,I05|I06|J05|J06,12000,8000,8000,1150000.0,"No issues, keep seeding densities the same!"
RH30,RH30,ACH-000833,Rhabdomyosarcoma,Male,17.0,,Koehler Lab/MIT,Metastasis,Dx,35 hours,https://www.cccells.org/PDF_Files/Rhabdomyosarcoma/Rh30%20Cell%20Line%20Data%20Sheet.pdf,DMEM + 10% FBS,2,Synthemax,BR00150698|BR00150699|BR00150700,K05|K06|L05|L06,12000,120000,12000,336000.0,"Can consider increasing cell density, especially at 24 hours (we have used these cell lines in other assays at closer to 15,000 cells) (Confirmed, increasing would be beneficial but not too much to avoid any clustering) (Confirmed)"
RH4,RH4,ACH-001765,"Rhabdomyosarcoma, alveolar",Female,7.0,,Koehler Lab/MIT,Metastasis,,,,DMEM + 10% FBS,2,Synthemax,BR00150698|BR00150699|BR00150700,M05|M06|N05|N06,12000,12000,12000,1370000.0,"No issues, keep seeding densities the same!"
RH41,RH41,ACH-000100,"Rhabdomyosarcoma, alveolar",Female,7.0,PAX3_FOXO1,COG,Metastasis,PD,,https://www.cccells.org/PDF_Files/Rhabdomyosarcoma/Rh41%20Cell%20Line%20Data%20Sheet.pdf,IMDM + 20 % FBS + 1x ITS + P/S,2,Synthemax,BR00150698|BR00150699|BR00150700,C07|C08|D07|D08,8000,8000,8000,235000.0,"Some issues, but current densities do work based on notes."
SHSY5Y,SHSY5Y,ACH-001188,Neuroblastoma,Female,4.0,,ATCC CRL-2266,Metastasis,,,https://www.atcc.org/products/crl-2266,EMEM/F12 (1:1) + 10% FBS,2,Synthemax,BR00150698|BR00150699|BR00150700,E07|E08|F07|F08,4000,8000,8000,515000.0,"may increase magnification on re-imaging (Notes show 24 hours has QC issues, might consider reducing density if optimal, agreed to increase mag due to small cell size) (Confirmed)"
SJGBM2,SJGBM2,,Glioblastoma Multiforme,Female,6.0,,COG,Primary,PD,,https://www.cccells.org/PDF_Files/Brain/SJ-GBM2.pdf,IMDM + 20 % FBS + 1x ITS + P/S,2,Synthemax,BR00150698|BR00150699|BR00150700,G07|G08|H07|H08,8000,8000,8000,641000.0,lower cell density to 8000 for 72 hours to help with segmentation (Confirmed) (Confirmed)
SJSA1,SJSA-1,ACH-000748,Osteosarcoma,Male,19.0,,ATCC CRL-2098,Primary,,24 hours,https://www.atcc.org/products/crl-2098,RPMI 1640 + 10% FBS,1,Standard,BR00150695|BR00150696|BR00150697,K05|K06|L05|L06,8000,8000,4000,361000.0,"increase cell density at 24 hours to 8000 and at 72 hours to 4000 (Based on notes, it should be fine at current density, if increased it shouldn't be a problem) (Confirmed)"
SKNAS,SK-N-AS,ACH-000260,Neuroblastoma,Female,6.0,MYCN_wt,ATCC CRL-2137,Metastasis,,,https://www.atcc.org/products/crl-2137,,1,Standard,BR00150695|BR00150696|BR00150697,M05|M06|N05|N06,12000,4000,2000,578000.0,Maybe a tad high density but keep seeding densities the same!
SKNMC,SK-N-MC,ACH-000039,Ewing's Sarcoma,Female,14.0,EWS_FLI,ATCC HTB-10,Metastasis,PD,24 hours,https://www.atcc.org/products/htb-10,EMEM + 10% FBS,1,Standard,BR00150695|BR00150696|BR00150697,C07|C08|D07|D08,8000,4000,4000,1620000.0,Lower cell density at 24 hours to 8000 to help with clustering (Lower density for 48 hours as well as there are FOVs failing from clustering too) (Confirmed)
SKNAS1020,SKNAS-1020,,Neuroblastoma,Female,6.0,MYCN_wt,Derivative of SK-N-AS,Metastasis,,,,"RPMI with 10% FBS, 1% Pen-strep, and 1 ug/ml puromycin.",3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,K09|K10|L09|L10,8000,8000,8000,509000.0,Decrease cell density to 8000 across all time points (Confirmed) (confirmed)
SKNASEV,SKNAS-EV,,Neuroblastoma,Female,6.0,MYCN_wt,Derivative of SK-N-AS,Metastasis,,,,"RPMI with 10% FBS, 1% Pen-strep, and 1 ug/ml puromycin.",3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,M09|M10|N09|N10,12000,12000,12000,252000.0,"Minimal issues, keep seeding densities the same!"
SKNDZ,SKNDZ,ACH-000366,Neuroblastoma,Female,2.0,MYCN_amp,ATCC CRL-2149,Metastasis,,,https://www.atcc.org/products/crl-2149,DMEM + 10% FBS + 0.1 mM Non-Essential Amino Acids (NEAA),2,Synthemax,BR00150698|BR00150699|BR00150700,I07|I08|J07|J08,4000,1000,1000,178000.0,"Lower cell density to help with clustering across all time points (Confirmed) (Confirmed, but cannot lower 72 from 1000)"
SAOS2,Saos-2,ACH-000410,Osteosarcoma,Female,11.0,,ATCC HTB-85,Primary,,48 hours,https://www.atcc.org/products/htb-85,McCoy's 5A + 10% FBS,1,Standard,BR00150695|BR00150696|BR00150697,I05|I06|J05|J06,8000,4000,2000,875000.0,Can lower cell density at 48 and 72 hours if needed (Recommend reducing both if optimal) (Confirmed)
TC71,TC71,ACH-000424,Ewing's Sarcoma,Male,22.0,EWS_FLI,COG,Primary,PD,24 hours,https://www.cccells.org/PDF_Files/Ewings/TC-71.pdf,IMDM + 20 % FBS + 1x ITS + P/S,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,C11|C12|D11|D12,12000,12000,12000,2350000.0,"increase cell density to 12000 for all time points (Clustering issue, increasing might lead to the same oversaturation issues, consider further eval, only 48 hours seemed to have some passing FOVs) (Confirmed)"
U2OS,U2-OS,ACH-000364,Osteosarcoma,Female,15.0,,ATCC HTB-96,Primary,,24 hours,https://www.atcc.org/products/htb-96,McCoy's 5A + 10% FBS,1,Standard,BR00150695|BR00150696|BR00150697,E07|E08|F07|F08,4000,2000,1000,723000.0,"For all U2OS conditions, use 4000 cells for 24 hours, 2000 cells for 48 hours and 1000 cells for 72 hours, which is what is typically used for all other experiments (Confirmed)(Confirmed)"
U2OS,U2-OS,ACH-000364,Osteosarcoma,Female,15.0,,ATCC HTB-96,Primary,,24 hours,https://www.atcc.org/products/htb-96,McCoy's 5A + 10% FBS,2,Laminin,BR00150698|BR00150699|BR00150700,C09|C10|D09|D10,4000,2000,1000,723000.0,"For all U2OS conditions, use 4000 cells for 24 hours, 2000 cells for 48 hours and 1000 cells for 72 hours, which is what is typically used for all other experiments (Confirmed)(Confirmed)"
U2OS,U2-OS,ACH-000364,Osteosarcoma,Female,15.0,,ATCC HTB-96,Primary,,24 hours,https://www.atcc.org/products/htb-96,McCoy's 5A + 10% FBS,2,Standard,BR00150698|BR00150699|BR00150700,G09|G10|H09|H10,4000,2000,1000,723000.0,"For all U2OS conditions, use 4000 cells for 24 hours, 2000 cells for 48 hours and 1000 cells for 72 hours, which is what is typically used for all other experiments (Confirmed)(Confirmed)"
U2OS,U2-OS,ACH-000364,Osteosarcoma,Female,15.0,,ATCC HTB-96,Primary,,24 hours,https://www.atcc.org/products/htb-96,McCoy's 5A + 10% FBS,2,Synthemax,BR00150698|BR00150699|BR00150700,E09|E10|F09|F10,4000,2000,1000,723000.0,"For all U2OS conditions, use 4000 cells for 24 hours, 2000 cells for 48 hours and 1000 cells for 72 hours, which is what is typically used for all other experiments (Confirmed)(Confirmed)"
U2OS,U2-OS,ACH-000364,Osteosarcoma,Female,15.0,,ATCC HTB-96,Primary,,24 hours,https://www.atcc.org/products/htb-96,McCoy's 5A + 10% FBS,3,Laminin w/ double PFA fixation,BR00150701|BR00150702|BR00150703,K11|K12|L11|L12,4000,2000,1000,786000.0,"For all U2OS conditions, use 4000 cells for 24 hours, 2000 cells for 48 hours and 1000 cells for 72 hours, which is what is typically used for all other experiments(Confirmed)"
U2OS,U2-OS,ACH-000364,Osteosarcoma,Female,15.0,,ATCC HTB-96,Primary,,24 hours,https://www.atcc.org/products/htb-96,McCoy's 5A + 10% FBS,3,Standard,BR00150701|BR00150702|BR00150703,M11|M12|N11|N12,4000,2000,1000,786000.0,"For all U2OS conditions, use 4000 cells for 24 hours, 2000 cells for 48 hours and 1000 cells for 72 hours, which is what is typically used for all other experiments(Confirmed)"
U2OS,U2-OS,ACH-000364,Osteosarcoma,Female,15.0,,ATCC HTB-96,Primary,,24 hours,https://www.atcc.org/products/htb-96,McCoy's 5A + 10% FBS,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,I11|I12|J11|J12,4000,2000,1000,786000.0,"For all U2OS conditions, use 4000 cells for 24 hours, 2000 cells for 48 hours and 1000 cells for 72 hours, which is what is typically used for all other experiments(Confirmed)"
WI38,WI38,ACH-003284,Normal (embryonic lung fibroblast),Female,0.0,,ATCC CCL-75,,,,https://www.atcc.org/products/ccl-75,EMEM + 10% FBS,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,E11|E12|F11|F12,12000,8000,4000,707000.0,decrease cell density to 4000 for 72 hours (Confirmed) (Confirmed)
WPMY1,WPMY1,,Normal (prostate stromal myofibroblast),Male,54.0,,ATCC CRL-2854,,,,https://www.atcc.org/products/crl-2854,DMEM + 5% FBS,3,Synthemax w/ double PFA fixation,BR00150701|BR00150702|BR00150703,G11|G12|H11|H12,12000,8000,2000,696000.0,"decrease cell density to 8000 for 48 hours (Should be increased for 48 hours, confirmed) (Confirmed)"
X0092,X0092,,Myoepithelial Carcinoma (MEC),,,,cureMEC (Cure MEC Line #1),,,,,"DMEM/F12 with 10% FBS, 1X L-Glutamine (2 mm), 1% Pen/Strep",2,Synthemax,BR00150698|BR00150699|BR00150700,K07|K08|L07|L08,12000,4000,4000,,"Increase cell density to 4000 for 48 hours and 72 hours (Confirmed, increase only slightly) (Confirmed)"
